Timestamp,CPU,MEMORY
26.11.2015 13:55:00,136,655
26.11.2015 14:00:00,119,639
26.11.2015 14:05:00,112,335
26.11.2015 14:10:00,111,106
26.11.2015 14:15:00,123,202
26.11.2015 14:20:00,112,262
26.11.2015 14:25:00,115,180
26.11.2015 14:30:00,122,300
26.11.2015 14:35:00,114,458
26.11.2015 14:40:00,114,172
26.11.2015 14:45:00,127,401
26.11.2015 14:50:00,117,327
26.11.2015 14:55:00,122,286
26.11.2015 15:00:00,113,475
26.11.2015 15:05:00,119,254
26.11.2015 15:10:00,111,300
26.11.2015 15:15:00,181,464
26.11.2015 15:20:00,115,909
26.11.2015 15:25:00,113,322
26.11.2015 15:30:00,118,267
26.11.2015 15:35:00,132,483
26.11.2015 15:40:00,112,592
26.11.2015 15:45:00,120,281
26.11.2015 15:50:00,113,264
26.11.2015 15:55:00,128,289
26.11.2015 16:00:00,113,753
26.11.2015 16:05:00,118,295
26.11.2015 16:10:00,111,316
26.11.2015 16:15:00,120,300
26.11.2015 16:20:00,149,881
26.11.2015 16:25:00,113,499
26.11.2015 16:30:00,114,278
26.11.2015 16:35:00,117,254
26.11.2015 16:40:00,111,319
26.11.2015 16:45:00,112,169
26.11.2015 16:50:00,113,229
26.11.2015 16:55:00,120,166
26.11.2015 17:00:00,115,436
26.11.2015 17:05:00,114,237
26.11.2015 17:10:00,110,292
26.11.2015 17:15:00,110,131
26.11.2015 17:20:00,113,109
26.11.2015 17:25:00,114,95
26.11.2015 17:30:00,111,152
26.11.2015 17:35:00,117,262
26.11.2015 17:40:00,113,472
26.11.2015 17:45:00,110,182
26.11.2015 17:50:00,108,76
26.11.2015 17:55:00,118,131
26.11.2015 18:00:00,111,374
26.11.2015 18:05:00,111,161
26.11.2015 18:10:00,111,174
26.11.2015 18:15:00,122,172
26.11.2015 18:20:00,114,313
26.11.2015 18:25:00,111,109
26.11.2015 18:30:00,115,111
26.11.2015 18:35:00,122,278
26.11.2015 18:40:00,120,450
26.11.2015 18:45:00,146,546
26.11.2015 18:50:00,128,868
26.11.2015 18:55:00,119,458
26.11.2015 19:00:00,112,409
26.11.2015 19:05:00,124,344
26.11.2015 19:10:00,125,639
26.11.2015 19:15:00,121,434
26.11.2015 19:20:00,113,295
26.11.2015 19:25:00,113,155
26.11.2015 19:30:00,117,109
26.11.2015 19:35:00,129,161
26.11.2015 19:40:00,111,371
26.11.2015 19:45:00,113,128
26.11.2015 19:50:00,115,95
26.11.2015 19:55:00,128,196
26.11.2015 20:00:00,117,680
26.11.2015 20:05:00,123,401
26.11.2015 20:10:00,112,458
26.11.2015 20:15:00,131,275
26.11.2015 20:20:00,113,295
26.11.2015 20:25:00,126,218
26.11.2015 20:30:00,120,663
26.11.2015 20:35:00,120,393
26.11.2015 20:40:00,112,426
26.11.2015 20:45:00,119,204
26.11.2015 20:50:00,112,204
26.11.2015 20:55:00,126,188
26.11.2015 21:00:00,114,412
26.11.2015 21:05:00,124,333
26.11.2015 21:10:00,110,467
26.11.2015 21:15:00,129,444
26.11.2015 21:20:00,112,467
26.11.2015 21:25:00,124,295
26.11.2015 21:30:00,114,344
26.11.2015 21:35:00,121,240
26.11.2015 21:40:00,112,360
26.11.2015 21:45:00,113,106
26.11.2015 21:50:00,114,98
26.11.2015 21:55:00,122,147
26.11.2015 22:00:00,114,450
26.11.2015 22:05:00,118,213
26.11.2015 22:10:00,111,322
26.11.2015 22:15:00,131,226
26.11.2015 22:20:00,114,382
26.11.2015 22:25:00,122,248
26.11.2015 22:30:00,114,406
26.11.2015 22:35:00,113,152
26.11.2015 22:40:00,113,120
26.11.2015 22:45:00,127,281
26.11.2015 22:50:00,139,729
26.11.2015 22:55:00,151,783
26.11.2015 23:00:00,140,854
26.11.2015 23:05:00,116,835
26.11.2015 23:10:00,111,395
26.11.2015 23:15:00,118,272
26.11.2015 23:20:00,110,401
26.11.2015 23:25:00,116,199
26.11.2015 23:30:00,114,305
26.11.2015 23:35:00,114,141
26.11.2015 23:40:00,112,147
26.11.2015 23:45:00,115,131
26.11.2015 23:50:00,115,106
26.11.2015 23:55:00,130,207
27.11.2015 00:00:00,114,603
27.11.2015 00:05:00,118,316
27.11.2015 00:10:00,110,300
27.11.2015 00:15:00,121,313
27.11.2015 00:20:00,110,210
27.11.2015 00:25:00,125,196
27.11.2015 00:30:00,112,357
27.11.2015 00:35:00,122,231
27.11.2015 00:40:00,114,362
27.11.2015 00:45:00,124,218
27.11.2015 00:50:00,115,335
27.11.2015 00:55:00,127,199
27.11.2015 01:00:00,114,630
27.11.2015 01:05:00,115,254
27.11.2015 01:10:00,113,161
27.11.2015 01:15:00,114,270
27.11.2015 01:20:00,112,114
27.11.2015 01:25:00,118,213
27.11.2015 01:30:00,114,262
27.11.2015 01:35:00,116,120
27.11.2015 01:40:00,114,141
27.11.2015 01:45:00,122,256
27.11.2015 01:50:00,116,327
27.11.2015 01:55:00,126,303
27.11.2015 02:00:00,115,600
27.11.2015 02:05:00,120,286
27.11.2015 02:10:00,112,237
27.11.2015 02:15:00,121,311
27.11.2015 02:20:00,114,352
27.11.2015 02:25:00,113,177
27.11.2015 02:30:00,114,182
27.11.2015 02:35:00,120,311
27.11.2015 02:40:00,113,272
27.11.2015 02:45:00,121,229
27.11.2015 02:50:00,114,324
27.11.2015 02:55:00,127,262
27.11.2015 03:00:00,115,663
27.11.2015 03:05:00,114,237
27.11.2015 03:10:00,114,128
27.11.2015 03:15:00,118,128
27.11.2015 03:20:00,114,109
27.11.2015 03:25:00,120,231
27.11.2015 03:30:00,114,385
27.11.2015 03:35:00,113,114
27.11.2015 03:40:00,113,147
27.11.2015 03:45:00,108,131
27.11.2015 03:50:00,111,106
27.11.2015 03:55:00,127,229
27.11.2015 04:00:00,114,589
27.11.2015 04:05:00,129,262
27.11.2015 04:10:00,113,365
27.11.2015 04:15:00,113,155
27.11.2015 04:20:00,113,117
27.11.2015 04:25:00,113,100
27.11.2015 04:30:00,116,150
27.11.2015 04:35:00,121,182
27.11.2015 04:40:00,113,311
27.11.2015 04:45:00,121,267
27.11.2015 04:50:00,113,322
27.11.2015 04:55:00,119,174
27.11.2015 05:00:00,114,415
27.11.2015 05:05:00,125,207
27.11.2015 05:10:00,116,295
27.11.2015 05:15:00,121,229
27.11.2015 05:20:00,116,283
27.11.2015 05:25:00,118,202
27.11.2015 05:30:00,114,344
27.11.2015 05:35:00,113,182
27.11.2015 05:40:00,112,144
27.11.2015 05:45:00,114,122
27.11.2015 05:50:00,113,147
27.11.2015 05:55:00,120,117
27.11.2015 06:00:00,115,409
27.11.2015 06:05:00,121,295
27.11.2015 06:10:00,112,368
27.11.2015 06:15:00,121,295
27.11.2015 06:20:00,114,458
27.11.2015 06:25:00,115,221
27.11.2015 06:30:00,116,139
27.11.2015 06:35:00,120,229
27.11.2015 06:40:00,113,311
27.11.2015 06:45:00,121,180
27.11.2015 06:50:00,114,262
27.11.2015 06:55:00,120,122
27.11.2015 07:00:00,116,436
27.11.2015 07:05:00,121,242
27.11.2015 07:10:00,113,272
27.11.2015 07:15:00,113,120
27.11.2015 07:20:00,113,144
27.11.2015 07:25:00,117,335
27.11.2015 07:30:00,113,330
27.11.2015 07:35:00,112,128
27.11.2015 07:40:00,111,131
27.11.2015 07:45:00,113,131
27.11.2015 07:50:00,113,109
27.11.2015 07:55:00,122,188
27.11.2015 08:00:00,115,436
27.11.2015 08:05:00,121,428
